question,correct_vehicle_id,correct_vehicle_name,topic
What is the electric driving range of the 2027 Lucid Gravity GT w/20F21R wheels (3R)?,50653,2027 Lucid Gravity GT w/20F21R wheels (3R),electric driving range
What is the combined MPGe efficiency of the 2024 MINI Cooper SE Hardtop 2 door?,46972,2024 MINI Cooper SE Hardtop 2 door,combined MPGe efficiency
What is the 240V Level 2 charging time for the 2026 Rolls-Royce Spectre (22 inch Wheels)?,49979,2026 Rolls-Royce Spectre (22 inch Wheels),240V Level 2 charging time
What is the electric driving range of the 2024 Hyundai Ioniq 6 Long range RWD (18 inch Wheels)?,46957,2024 Hyundai Ioniq 6 Long range RWD (18 inch Wheels),electric driving range
What is the combined MPGe efficiency of the 2026 BMW i5 xDrive40 Sedan (19 inch Wheels)?,49616,2026 BMW i5 xDrive40 Sedan (19 inch Wheels),combined MPGe efficiency
What is the 240V Level 2 charging time for the 2025 Hyundai Ioniq 6 RWD (20 inch Wheels)?,48363,2025 Hyundai Ioniq 6 RWD (20 inch Wheels),240V Level 2 charging time
What is the electric driving range of the 2027 Rivian R1S Premium Long Range (20in)?,50672,2027 Rivian R1S Premium Long Range (20in),electric driving range
What is the combined MPGe efficiency of the 2027 Mercedes-Benz EQS 550 4matic (SUV)?,50663,2027 Mercedes-Benz EQS 550 4matic (SUV),combined MPGe efficiency
What is the 240V Level 2 charging time for the 2026 Rivian R1S All-Terrain Dual Large Plus (20in)?,49725,2026 Rivian R1S All-Terrain Dual Large Plus (20in),240V Level 2 charging time
What is the electric driving range of the 2026 Rivian R1T Performance Dual Max (20in)?,49696,2026 Rivian R1T Performance Dual Max (20in),electric driving range
What is the combined MPGe efficiency of the 2023 Volkswagen ID.4 S?,46037,2023 Volkswagen ID.4 S,combined MPGe efficiency
What is the 240V Level 2 charging time for the 2027 Audi S6 e-tron (20 inch wheels)?,50370,2027 Audi S6 e-tron (20 inch wheels),240V Level 2 charging time
What is the electric driving range of the 2026 Polestar 4 Long Range Single Motor?,50033,2026 Polestar 4 Long Range Single Motor,electric driving range
What is the combined MPGe efficiency of the 2022 Tesla Model 3 Long Range AWD?,45011,2022 Tesla Model 3 Long Range AWD,combined MPGe efficiency
What is the 240V Level 2 charging time for the 2014 smart fortwo electric drive coupe?,34394,2014 smart fortwo electric drive coupe,240V Level 2 charging time
